IDN5,NM5
800015,Ábelová
800040,Abovce
800058,Abrahám
800066,Abrahámovce
800074,Abrahámovce
800091,Abramová
800112,Abranovce
800121,Adamovské Kochanovce
800155,Adidovce
800163,Alekšince
800180,Andač
800198,Andovce
800201,Andrejová
800210,Svätý Anton
800236,Ardanovce
800252,Ardovo
800261,Arnutovce
800287,Malý Báb
800295,Veľký Báb
800309,Babie
800317,Babín
800325,Babin Potok
800333,Babiná
800341,Babindol
800350,Babinec
800376,Babkov
800384,Bacúch
800392,Bacúrov
800406,Báč
800414,Bačka
800422,Bačkov
800431,Bačkovík
800457,Báčovce
800465,Baďan
800473,Badín
800481,Báhoň
800490,Bajany
800503,Bajč
800554,Bajerov
800562,Bajerovce
800571,Bajka
800589,Bajtava
800597,Baka
800601,Bakta
800619,Baláže
800627,Baldovce
800635,Balog nad Ipľom
800643,Baloň
800651,Baňa
800678,Banka
800694,Banky
800708,Banky
800724,Bánov
800732,Malá Kesa
800759,Bánová
800805,Bánovce nad Bebravou
801011,Bánovce nad Ondavou
801038,Banská Belá
801062,Banská Bystrica
801101,Sásová
801241,Radvaň
801283,Podlavice
801372,Malachov
801381,Kremnička
801402,Šalková
801411,Senica
801429,Kynceľová
801437,Nemce
801453,Kostiviarska
801461,Banská Hodruša
801470,Banská Štiavnica
801640,Banské
801658,Banský Studenec
801674,Malá Bara
801682,Veľká Bara
801691,Barca
801712,Bardejov
802077,Bardejovská Nová Ves
802093,Bardoňovo
802107,Bartošova Lehôtka
802115,Bartošovce
802123,Baška
802140,Baškovce
802158,Baškovce
802166,Bašovce
802174,Batizovce
802191,Bátka
802204,Dulovo
802212,Bátorová
802221,Bátovce
802239,Jalakšová
802247,Kmeťovce
802255,Beckov
802263,Beharovce
802271,Behynce
802280,Behynce
802298,Becherov
802301,Belá
802328,Belá
802336,Belá
802395,Belá nad Cirochou
802409,Beladice
802417,Pustý Chotár
802425,Belejovce
802433,Belín
802450,Belina
802468,Belince
802476,Bellova Ves
802484,Beloveža
802492,Beluj
802506,Beluša
802565,Belža
802573,Beňadiková
802581,Beňadikovce
802590,Beňadovo
802603,Beňatina
802611,Beniakovce
802638,Benice
802654,Benice
802662,Benkovce
802671,Beňova Lehota
802689,Beňuš
802727,Beňušovce
802735,Bernolákovo
802743,Bertotovce
802760,Beša
802778,Jesenské
802794,Beša
802808,Bešeňov
802816,Bešeňová
802824,Betlanovce
802841,Betliar
802867,Bežovce
802875,Bidovce
802905,Biel
802913,Bielovce
802921,Biely Kostol
802930,Bijacovce
802948,Bílkove Humence
802956,Bíňa
802972,Bíňovce
802981,Biskupice
802999,Biskupice
803006,Biskupová
803014,Bitarová
803022,Blahová
803031,Blatná na Ostrove
803057,Blatná Polianka
803065,Blatné
803073,Blatné Remety
803090,Blatné Revištia
803103,Blatnica
803111,Blažice
803146,Blažovce
803162,Blesovce
803171,Blhovce
803197,Bobot
803201,Bobotská Lehota
803219,Bobrov
803227,Bobrovček
803235,Bobrovec
803243,Bobrovník
803286,Bodice
803294,Bodiná
803308,Bodorová
803316,Kevice
803324,Bodovce
803332,Svätá Mária
803341,Bodružal
803359,Bodza
803367,Bodzianske Lúky
803375,Bogliarka
803383,Bohatá
803413,Bohdanovce
803421,Bohdanovce nad Trnavou
803430,Boheľov
803448,Bohunice
803456,Bohunice
803464,Bohúňovo
803472,Tiba
