fid;NM2;NM3;NM4;NM5;x;y
35;Banskobystrický;Banská Bystrica;Badín;Badín;19.08805904;48.67539297
45;Banskobystrický;Banská Bystrica;Baláže;Baláže;19.19209999;48.8284076
59;Banskobystrický;Banská Bystrica;Banská Bystrica;Banská Bystrica;19.15495031;48.73413801
60;Banskobystrický;Banská Bystrica;Banská Bystrica;Sásová;19.15959454;48.76188066
61;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;19.09254759;48.71790342
62;Banskobystrický;Banská Bystrica;Banská Bystrica;Podlavice;19.09715362;48.74818255
63;Banskobystrický;Banská Bystrica;Malachov;Malachov;19.07575547;48.712057
64;Banskobystrický;Banská Bystrica;Banská Bystrica;Kremnička;19.11809461;48.69216786
65;Banskobystrický;Banská Bystrica;Banská Bystrica;Šalková;19.22375219;48.73726416
66;Banskobystrický;Banská Bystrica;Banská Bystrica;Senica;19.19558697;48.74583506
67;Banskobystrický;Banská Bystrica;Kynceľová;Kynceľová;19.18231568;48.75176751
68;Banskobystrický;Banská Bystrica;Nemce;Nemce;19.1680696;48.77622337
69;Banskobystrický;Banská Bystrica;Banská Bystrica;Kostiviarska;19.13346711;48.76525327
348;Banskobystrický;Banská Bystrica;Čerín;Čačín;19.25404047;48.67408944
389;Banskobystrický;Banská Bystrica;Čerín;Čerín;19.25109394;48.65921695
506;Banskobystrický;Banská Bystrica;Dolná Mičiná;Dolná Mičiná;19.21304448;48.67241163
541;Banskobystrický;Banská Bystrica;Dolný Harmanec;Dolný Harmanec;19.03641926;48.83066817
563;Banskobystrický;Banská Bystrica;Donovaly;Donovaly;19.23202583;48.87371915
609;Banskobystrický;Banská Bystrica;Dúbravica;Dúbravica;19.29404362;48.67778918
735;Banskobystrický;Banská Bystrica;Harmanec;Harmanec;19.06654851;48.78603452
756;Banskobystrický;Banská Bystrica;Hiadeľ;Hiadeľ;19.31154016;48.83023869
809;Banskobystrický;Banská Bystrica;Horná Mičiná;Horná Mičiná;19.1970917;48.70046969
839;Banskobystrický;Banská Bystrica;Horné Pršany;Horné Pršany;19.07093254;48.69933096
916;Banskobystrický;Banská Bystrica;Hrochoť;Hrochoť;19.37194389;48.66258916
919;Banskobystrický;Banská Bystrica;Brusno;Brusno;19.37147177;48.82160672
923;Banskobystrický;Banská Bystrica;Hronsek;Hronsek;19.17293549;48.6541016
1263;Banskobystrický;Banská Bystrica;Kordíky;Kordíky;19.02863549;48.77297727
1341;Banskobystrický;Banská Bystrica;Králiky;Králiky;19.02919271;48.73423506
1610;Banskobystrický;Banská Bystrica;Ľubietová;Ľubietová;19.42226693;48.73425247
1623;Banskobystrický;Banská Bystrica;Lučatín;Lučatín;19.32400659;48.77898378
1770;Banskobystrický;Banská Bystrica;Medzibrod;Medzibrod;19.34638099;48.8019775
1845;Banskobystrický;Banská Bystrica;Môlča;Môlča;19.23049012;48.71324727
1859;Banskobystrický;Banská Bystrica;Moštenica;Moštenica;19.2789835;48.83377119
1863;Banskobystrický;Banská Bystrica;Motyčky;Motyčky;19.18414422;48.86283931
2086;Banskobystrický;Banská Bystrica;Oravce;Oravce;19.25993677;48.69195955
2243;Banskobystrický;Banská Bystrica;Podkonice;Podkonice;19.24783756;48.81995711
2261;Banskobystrický;Banská Bystrica;Pohronský Bukovec;Pohronský Bukovec;19.37980238;48.85214723
2283;Banskobystrický;Banská Bystrica;Poniky;Poniky;19.32878757;48.70389224
2315;Banskobystrický;Banská Bystrica;Povrazník;Povrazník;19.36928438;48.71085146
2344;Banskobystrický;Banská Bystrica;Priechod;Priechod;19.22033822;48.79113662
2452;Banskobystrický;Banská Bystrica;Riečka;Riečka;19.06939002;48.76125776
2550;Banskobystrický;Banská Bystrica;Sebedín-Bečov;Bečov;19.2501516;48.64845464
2551;Banskobystrický;Banská Bystrica;Sebedín-Bečov;Sebedín;19.24724844;48.63564025
2567;Banskobystrický;Banská Bystrica;Selce;Selce;19.1894423;48.78296637
2644;Banskobystrický;Banská Bystrica;Slovenská Ľupča;Slovenská Ľupča;19.27863691;48.76155598
2720;Banskobystrický;Banská Bystrica;Staré Hory;Staré Hory;19.12274732;48.84408821
2721;Banskobystrický;Banská Bystrica;Turecká;Turecká;19.07916717;48.85834733
2750;Banskobystrický;Banská Bystrica;Strelníky;Strelníky;19.41108263;48.70612874
2862;Banskobystrický;Banská Bystrica;Špania Dolina;Špania Dolina;19.12842501;48.80452887
2906;Banskobystrický;Banská Bystrica;Tajov;Tajov;19.04242962;48.74638358
3070;Banskobystrický;Banská Bystrica;Banská Bystrica;Uľanka;19.10376825;48.78280412
3255;Banskobystrický;Banská Bystrica;Vlkanová;Vlkanová;19.16472595;48.67300301
14;Banskobystrický;Banská Štiavnica;Svätý Anton;Svätý Anton;18.95029021;48.41258173
34;Banskobystrický;Banská Štiavnica;Baďan;Baďan;18.84350112;48.33788042
52;Banskobystrický;Banská Štiavnica;Banská Štiavnica;Banky;18.85758436;48.48831147
